feature,F_value,MI
ratio_home_weak_tb15_points,0.9860250898666936,0.010461269427035846
diff_strong_tb15_points,0.24587338585345678,0.01042143951473129
home_away_strong_average_scoring,1.7298906768399238,0.010406361440500556
diff_home_tb25_points,2.9913728721443054,0.010387930257255151
ratio_home_goals_conceded,8.853298736268963,0.010386517076732327
ratio_away_tm05_points,5.991754260994064,0.010344438109675558
away_away_goals_ratio,19.68552772304156,0.01031164006173313
away_medium_games_draws,5.355398283750096,0.01030086748165382
ratio_strong_goals_ratio,21.292496962516868,0.010283858017281045
ratio_away_lossing_dry,17.369116225769076,0.010214290317179353
diff_home_itm45_points,0.009258575879100003,0.010186448424754024
home_away_strong_tm15_points,3.1238094324458268,0.01016042455786792
ratio_away_strong_itb05_points,4.312777853138645,0.01011612948482088
